Implementation,Variant,Recall\@1,MRR\@1,Recall\@5,MRR\@5,Recall\@10,MRR\@10,Recall\@20,MRR\@20
GRU4Rec Official,Best params,0.1108,0.1108,0.3000,0.1772,0.4126,0.1922,0.5291,0.2003
GRU4Rec Official,GRU4Rec_Tensorflow params,0.0304,0.0304,0.1178,0.0596,0.1950,0.0697,0.2940,0.0765
GRU4Rec_Tensorflow,OOB,0.0270,0.0270,0.0895,0.0482,0.1403,0.0549,0.2066,0.0594
GRU4Rec_Tensorflow,Correct Exp,0.0251,0.0251,0.1026,0.0507,0.1747,0.0602,0.2698,0.0667
