Implementation,Variant,Recall\@1 Diff,MRR\@1 Diff,Recall\@5 Diff,MRR\@5 Diff,Recall\@10 Diff,MRR\@10 Diff,Recall\@20 Diff,MRR\@20 Diff
GRU4Rec Official,Best params,,,,,,,,
GRU4Rec Official,Torch-GRU4Rec params,-20.04%,-20.04%,-16.41%,-18.23%,-13.15%,-17.33%,-10.56%,-16.77%
Torch-GRU4Rec,OOB,-24.35%,-24.35%,-24.51%,-24.70%,-20.22%,-23.61%,-19.00%,-23.35%
