Implementation,Variant,Avg. epoch time (s),Avg. epoch time to Best,Avg. epoch time to Matching,Avg. mb/s,Avg. e/s
GRU4Rec Official,Best params,4.52,,,1134.52,144959.00
GRU4Rec Official,Recpack params,4.45,0.98 x,,1154.05,147454.00
GRU4Rec Official,Recpack params,76.19,16.86 x,17.12 x,67.37,8608.00
Recpack,OOB,115.21,25.49 x,25.89 x,243.62,5693.79
Recpack,Correct exp,115.44,25.54 x,25.94 x,243.09,5681.55
Recpack,Correct full,115.35,25.52 x,25.92 x,243.27,5685.80
