Implementation,Variant,Recall\@1,MRR\@1,Recall\@5,MRR\@5,Recall\@10,MRR\@10,Recall\@20,MRR\@20
GRU4Rec Official,Best params,0.0489,0.0489,0.1418,0.0814,0.2085,0.0901,0.2947,0.0960
GRU4Rec Official,Recpack params,0.0458,0.0458,0.1359,0.0770,0.2009,0.0856,0.2829,0.0912
GRU4Rec Official,Recpack params,0.0483,0.0483,0.1368,0.0788,0.2012,0.0873,0.2851,0.0931
Recpack,OOB,0.0381,0.0381,0.1108,0.0635,0.1635,0.0704,0.2335,0.0752
Recpack,Correct exp,0.0375,0.0375,0.1094,0.0622,0.1605,0.0689,0.2323,0.0739
Recpack,Correct full,0.0365,0.0365,0.1061,0.0603,0.1596,0.0673,0.2309,0.0722
