Implementation,Variant,Recall\@1,MRR\@1,Recall\@5,MRR\@5,Recall\@10,MRR\@10,Recall\@20,MRR\@20
GRU4Rec Official,Best params,0.1150,0.1150,0.3026,0.1814,0.4019,0.1947,0.4953,0.2012
GRU4Rec Official,Torch-GRU4Rec params,0.0907,0.0907,0.2462,0.1456,0.3331,0.1571,0.4249,0.1635
Torch-GRU4Rec,OOB,0.0806,0.0806,0.2206,0.1300,0.2994,0.1405,0.3834,0.1464
