Implementation,Variant,Recall\@1 Diff,MRR\@1 Diff,Recall\@5 Diff,MRR\@5 Diff,Recall\@10 Diff,MRR\@10 Diff,Recall\@20 Diff,MRR\@20 Diff
GRU4Rec Official,Best params,,,,,,,,
GRU4Rec Official,Torch-GRU4Rec params,-3.52%,-3.52%,-2.27%,-2.86%,-2.98%,-2.99%,-4.09%,-3.21%
Torch-GRU4Rec,OOB,-4.43%,-4.43%,-4.35%,-4.88%,-4.84%,-4.92%,-5.23%,-5.01%
