Implementation,Variant,Recall\@1,MRR\@1,Recall\@5,MRR\@5,Recall\@10,MRR\@10,Recall\@20,MRR\@20
GRU4Rec Official,Best params,0.1797,0.1797,0.4457,0.2757,0.5698,0.2924,0.6804,0.3002
GRU4Rec Official,KerasGRU4Rec params,0.1734,0.1734,0.4351,0.2671,0.5612,0.2841,0.6722,0.2919
GRU4Rec Official,KerasGRU4Rec params,0.1851,0.1851,0.4490,0.2802,0.5724,0.2968,0.6809,0.3044
KerasGRU4Rec,OOB,0.1576,0.1576,0.3915,0.2410,0.5195,0.2581,0.6392,0.2666
KerasGRU4Rec,Correct exp,0.1815,0.1815,0.4444,0.2766,0.5694,0.2934,0.6784,0.3010
KerasGRU4Rec,Correct full,0.1824,0.1824,0.4446,0.2771,0.5678,0.2936,0.6768,0.3013
