Implementation,Variant,Recall\@1,MRR\@1,Recall\@5,MRR\@5,Recall\@10,MRR\@10,Recall\@20,MRR\@20
GRU4Rec Official,Best params,0.1224,0.1224,0.3196,0.1928,0.4181,0.2060,0.5187,0.2131
GRU4Rec Official,Recpack params,0.0883,0.0883,0.2491,0.1449,0.3449,0.1577,0.4455,0.1647
Recpack,OOB,0.0618,0.0618,0.1757,0.1010,0.2461,0.1104,0.3226,0.1157
Recpack,Correct exp,0.0567,0.0567,0.1667,0.0954,0.2320,0.1041,0.3054,0.1092
Recpack,Correct full,0.0641,0.0641,0.1902,0.1082,0.2679,0.1185,0.3550,0.1245
