Implementation,Variant,Recall\@1,MRR\@1,Recall\@5,MRR\@5,Recall\@10,MRR\@10,Recall\@20,MRR\@20
GRU4Rec Official,Best params,0.0489,0.0489,0.1418,0.0814,0.2085,0.0901,0.2947,0.0960
GRU4Rec Official,GRU4REC-pytorch params,0.0275,0.0275,0.0871,0.0478,0.1362,0.0543,0.2061,0.0591
GRU4REC-pytorch,OOB,0.0312,0.0312,0.0468,0.0370,0.0537,0.0379,0.0628,0.0386
GRU4REC-pytorch,OOB Correct Eval,0.0315,0.0315,0.0487,0.0380,0.0566,0.0390,0.0663,0.0397
GRU4REC-pytorch,Correct full,0.0222,0.0222,0.0742,0.0397,0.1175,0.0454,0.1806,0.0497
