Implementation,Variant,Recall\@1 Diff,MRR\@1 Diff,Recall\@5 Diff,MRR\@5 Diff,Recall\@10 Diff,MRR\@10 Diff,Recall\@20 Diff,MRR\@20 Diff
GRU4Rec Official,Best params,,,,,,,,
GRU4Rec Official,Recpack params,-12.73%,-12.73%,-8.41%,-10.27%,-5.98%,-9.42%,-3.76%,-8.85%
Recpack,OOB,-25.79%,-25.79%,-19.03%,-21.99%,-15.45%,-20.73%,-11.17%,-19.71%
Recpack,Correct exp,-25.30%,-25.30%,-18.41%,-21.37%,-15.16%,-20.21%,-11.17%,-19.25%
Recpack,Correct full,-24.63%,-24.63%,-17.21%,-20.38%,-14.15%,-19.26%,-10.37%,-18.34%
