Implementation,Variant,Recall\@1 Diff,MRR\@1 Diff,Recall\@5 Diff,MRR\@5 Diff,Recall\@10 Diff,MRR\@10 Diff,Recall\@20 Diff,MRR\@20 Diff
GRU4Rec Official,Best params,,,,,,,,
GRU4Rec Official,Recpack params,-6.26%,-6.26%,-4.13%,-5.39%,-3.64%,-5.06%,-4.01%,-5.02%
GRU4Rec Official,Recpack params,-1.28%,-1.28%,-3.50%,-3.08%,-3.53%,-3.14%,-3.27%,-3.07%
Recpack,OOB,-22.07%,-22.07%,-21.87%,-22.00%,-21.61%,-21.88%,-20.77%,-21.64%
Recpack,Correct exp,-23.40%,-23.40%,-22.85%,-23.52%,-23.04%,-23.50%,-21.17%,-23.06%
Recpack,Correct full,-25.41%,-25.41%,-25.15%,-25.92%,-23.45%,-25.33%,-21.65%,-24.80%
