Implementation,Variant,Recall\@1,MRR\@1,Recall\@5,MRR\@5,Recall\@10,MRR\@10,Recall\@20,MRR\@20
GRU4Rec Official,Best params,0.1150,0.1150,0.3026,0.1814,0.4019,0.1947,0.4953,0.2012
GRU4Rec Official,Recpack params,0.0914,0.0914,0.2458,0.1457,0.3356,0.1577,0.4235,0.1637
GRU4Rec Official,Recpack params,0.1040,0.1040,0.2670,0.1620,0.3508,0.1732,0.4322,0.1788
Recpack,OOB,0.0609,0.0609,0.1514,0.0935,0.1960,0.0995,0.2442,0.1029
Recpack,Correct exp,0.0545,0.0545,0.1390,0.0845,0.1780,0.0897,0.2210,0.0927
Recpack,Correct full,0.0650,0.0650,0.1755,0.1044,0.2323,0.1119,0.2866,0.1157
