Implementation,Variant,Recall\@1,MRR\@1,Recall\@5,MRR\@5,Recall\@10,MRR\@10,Recall\@20,MRR\@20
GRU4Rec Official,Best params,0.0489,0.0489,0.1418,0.0814,0.2085,0.0901,0.2947,0.0960
GRU4Rec Official,KerasGRU4Rec params,0.0466,0.0466,0.1360,0.0775,0.1993,0.0859,0.2852,0.0917
GRU4Rec Official,KerasGRU4Rec params,0.0480,0.0480,0.1383,0.0789,0.2029,0.0875,0.2880,0.0933
KerasGRU4Rec,OOB,0.0451,0.0451,0.1270,0.0732,0.1888,0.0813,0.2739,0.0871
KerasGRU4Rec,Correct exp,0.0477,0.0477,0.1370,0.0786,0.1997,0.0868,0.2822,0.0925
KerasGRU4Rec,Correct full,0.0469,0.0469,0.1361,0.0778,0.1993,0.0861,0.2826,0.0918
