Implementation,Variant,Recall\@1 Diff,MRR\@1 Diff,Recall\@5 Diff,MRR\@5 Diff,Recall\@10 Diff,MRR\@10 Diff,Recall\@20 Diff,MRR\@20 Diff
GRU4Rec Official,Best params,,,,,,,,
GRU4Rec Official,Torch-GRU4Rec params,-25.58%,-25.58%,-17.21%,-20.94%,-13.94%,-19.73%,-10.87%,-18.94%
Torch-GRU4Rec,OOB,-26.58%,-26.58%,-18.05%,-21.96%,-14.42%,-20.63%,-11.40%,-19.83%
