Implementation,Variant,Recall\@1 Diff,MRR\@1 Diff,Recall\@5 Diff,MRR\@5 Diff,Recall\@10 Diff,MRR\@10 Diff,Recall\@20 Diff,MRR\@20 Diff
GRU4Rec Official,Best params,,,,,,,,
GRU4Rec Official,Recpack params,-13.23%,-13.23%,-14.32%,-13.69%,-13.90%,-13.59%,-12.52%,-13.34%
GRU4Rec Official,Recpack params,-6.88%,-6.88%,-9.87%,-8.32%,-10.41%,-8.62%,-10.92%,-8.93%
Recpack,OOB,-36.53%,-36.53%,-35.05%,-35.64%,-34.45%,-35.37%,-32.72%,-34.94%
Recpack,Correct exp,-36.50%,-36.50%,-35.44%,-35.94%,-35.75%,-36.00%,-33.96%,-35.62%
Recpack,Correct full,-37.00%,-37.00%,-34.07%,-35.11%,-33.38%,-34.75%,-32.37%,-34.46%
