Implementation,Variant,Recall\@1,MRR\@1,Recall\@5,MRR\@5,Recall\@10,MRR\@10,Recall\@20,MRR\@20
GRU4Rec Official,Best params,0.1150,0.1150,0.3026,0.1814,0.4019,0.1947,0.4953,0.2012
GRU4Rec Official,KerasGRU4Rec params,0.0981,0.0981,0.2531,0.1535,0.3338,0.1643,0.4239,0.1705
GRU4Rec Official,KerasGRU4Rec params,0.1057,0.1057,0.2601,0.1608,0.3405,0.1715,0.4200,0.1771
KerasGRU4Rec,OOB,0.0713,0.0713,0.1899,0.1124,0.2520,0.1207,0.3151,0.1250
KerasGRU4Rec,Correct exp,0.0962,0.0962,0.2440,0.1488,0.3209,0.1591,0.3938,0.1642
KerasGRU4Rec,Correct full,0.0962,0.0962,0.2463,0.1496,0.3206,0.1595,0.3957,0.1647
