Implementation,Variant,Recall\@1,MRR\@1,Recall\@5,MRR\@5,Recall\@10,MRR\@10,Recall\@20,MRR\@20
GRU4Rec Official,Best params,0.1797,0.1797,0.4457,0.2757,0.5698,0.2924,0.6804,0.3002
GRU4Rec Official,Recpack params,0.1709,0.1709,0.4301,0.2625,0.5603,0.2800,0.6713,0.2877
GRU4Rec Official,Recpack params,0.1825,0.1825,0.4447,0.2770,0.5698,0.2938,0.6802,0.3016
Recpack,OOB,0.1533,0.1533,0.3941,0.2393,0.5108,0.2549,0.6214,0.2627
Recpack,Correct exp,0.1548,0.1548,0.3970,0.2417,0.5157,0.2576,0.6256,0.2653
Recpack,Correct full,0.1647,0.1647,0.4074,0.2516,0.5283,0.2678,0.6382,0.2755
