Implementation,Variant,Recall\@1 Diff,MRR\@1 Diff,Recall\@5 Diff,MRR\@5 Diff,Recall\@10 Diff,MRR\@10 Diff,Recall\@20 Diff,MRR\@20 Diff
GRU4Rec Official,Best params,,,,,,,,
GRU4Rec Official,Torch-GRU4Rec params,-14.78%,-14.78%,-13.17%,-13.69%,-13.08%,-13.55%,-12.70%,-13.47%
Torch-GRU4Rec,OOB,-16.45%,-16.45%,-14.67%,-15.19%,-14.44%,-15.04%,-12.90%,-14.71%
