Implementation,Variant,Recall\@1,MRR\@1,Recall\@5,MRR\@5,Recall\@10,MRR\@10,Recall\@20,MRR\@20
GRU4Rec Official,Best params,0.1027,0.1027,0.2897,0.168,0.4027,0.1831,0.5206,0.1913
GRU4Rec Official,Recpack params,0.0896,0.0896,0.2654,0.1508,0.3787,0.1658,0.501,0.1743
Recpack,OOB,0.0762,0.0762,0.2346,0.1311,0.3405,0.1451,0.4624,0.1536
Recpack,Correct exp,0.0767,0.0767,0.2364,0.1321,0.3417,0.1461,0.4624,0.1544
Recpack,Correct full,0.0774,0.0774,0.2399,0.1338,0.3458,0.1478,0.4666,0.1562
