Implementation,Variant,Recall\@1,MRR\@1,Recall\@5,MRR\@5,Recall\@10,MRR\@10,Recall\@20,MRR\@20
GRU4Rec Official,Best params,0.0647,0.0647,0.2220,0.1181,0.3414,0.1339,0.4874,0.1440
GRU4Rec Official,GRU4REC-pytorch params,0.0296,0.0296,0.1133,0.0576,0.1888,0.0675,0.2973,0.0749
GRU4REC-pytorch,OOB,0.0287,0.0287,0.0376,0.0321,0.0415,0.0327,0.0457,0.0329
GRU4REC-pytorch,OOB Correct Eval,0.0321,0.0321,0.0415,0.0357,0.0457,0.0363,0.0503,0.0366
GRU4REC-pytorch,Correct full,0.0288,0.0288,0.1135,0.0572,0.1860,0.0667,0.2862,0.0736
