Implementation,Variant,Recall\@1,MRR\@1,Recall\@5,MRR\@5,Recall\@10,MRR\@10,Recall\@20,MRR\@20
GRU4Rec Official,Best params,0.1027,0.1027,0.2897,0.168,0.4027,0.1831,0.5206,0.1913
GRU4Rec Official,GRU4REC-pytorch params,0.028,0.028,0.1061,0.0542,0.1732,0.0631,0.2615,0.0691
GRU4REC-pytorch,OOB,0.005,0.005,0.0326,0.0136,0.0685,0.0183,0.1316,0.0225
GRU4REC-pytorch,OOB Correct Eval,0.0048,0.0048,0.0324,0.0134,0.0713,0.0185,0.1418,0.0232
GRU4REC-pytorch,Correct full,0.0109,0.0109,0.0522,0.0242,0.0992,0.0303,0.1764,0.0355
