Implementation,Variant,Recall\@1,MRR\@1,Recall\@5,MRR\@5,Recall\@10,MRR\@10,Recall\@20,MRR\@20
GRU4Rec Official,Best params,0.1108,0.1108,0.3,0.1772,0.4126,0.1922,0.5291,0.2003
GRU4Rec Official,Recpack params,0.084,0.084,0.2531,0.1427,0.3625,0.1572,0.4812,0.1655
GRU4Rec Official,Recpack params,0.1078,0.1078,0.2937,0.1729,0.4034,0.1875,0.5174,0.1955
Recpack,OOB,0.074,0.074,0.2292,0.1281,0.3281,0.1412,0.4412,0.149
Recpack,Correct exp,0.0754,0.0754,0.2304,0.1294,0.3288,0.1424,0.4414,0.1502
Recpack,Correct full,0.0754,0.0754,0.2299,0.1289,0.3294,0.1421,0.4386,0.1496
