Implementation,Variant,Recall\@1,MRR\@1,Recall\@5,MRR\@5,Recall\@10,MRR\@10,Recall\@20,MRR\@20
GRU4Rec Official,Best params,0.1108,0.1108,0.3,0.1772,0.4126,0.1922,0.5291,0.2003
GRU4Rec Official,GRU4REC-pytorch params,0.034,0.034,0.1283,0.0657,0.2066,0.076,0.3059,0.0828
GRU4REC-pytorch,OOB,0.0578,0.0578,0.0879,0.0698,0.0955,0.0708,0.1028,0.0713
GRU4REC-pytorch,OOB Correct Eval,0.0605,0.0605,0.0945,0.074,0.1022,0.075,0.1093,0.0755
GRU4REC-pytorch,Correct full,0.0102,0.0102,0.0531,0.0238,0.108,0.0309,0.1994,0.0371
