Dataset,Implementation,Variant,loss,optim,constrained_embedding,embedding,final_act,layers,batch_size,dropout_p_embed,dropout_p_hidden,learning_rate,momentum,n_sample,sample_alpha,bpreg,logq,Recall@1,MRR@1,Recall@5,MRR@5,Recall@10,MRR@10,Recall@20,MRR@20,Avg. epoch time (s),Avg. e/s,Avg. mb/s,Recall@1 Diff,MRR@1 Diff,Recall@5 Diff,MRR@5 Diff,Recall@10 Diff,MRR@10 Diff,Recall@20 Diff,MRR@20 Diff
Coveo,GRU4REC-pytorch,OOB,cross-entropy,adagrad,FALSE,512,softmax,512,32,N/A,N/A,0.03,N/A,N/A,N/A,N/A,N/A,0.0312,0.0312,0.0468,0.037,0.0537,0.0379,0.0628,0.0386,85.06,14640.34,457.51,-36.22%,-36.22%,-66.97%,-54.48%,-74.23%,-57.91%,-78.70%,-59.84%
Coveo,GRU4REC-pytorch,OOB Correct Eval,cross-entropy,adagrad,FALSE,512,softmax,512,32,N/A,N/A,0.03,N/A,N/A,N/A,N/A,N/A,0.0315,0.0315,0.0487,0.038,0.0566,0.039,0.0663,0.0397,86.98,14330.19,447.82,-35.53%,-35.53%,-65.62%,-53.30%,-72.86%,-56.69%,-77.50%,-58.65%
Coveo,GRU4REC-pytorch,Correct full,cross-entropy,adagrad,FALSE,512,softmax,512,32,0.4,0.15,0.03,N/A,N/A,N/A,N/A,N/A,0.0222,0.0222,0.0742,0.0397,0.1175,0.0454,0.1806,0.0497,89.9,13852.6,432.89,-54.53%,-54.53%,-47.65%,-51.22%,-43.66%,-49.61%,-38.73%,-48.21%
Coveo,GRU4Rec Official,Torch-GRU4Rec params,cross-entropy,adagrad,FALSE,512,softmax,512,32,0.4,0.15,0.03,0,2048,0,0,0,0.0473,0.0473,0.1379,0.0786,0.2015,0.0871,0.2848,0.0928,36.81,33830,1057.66,-3.29%,-3.29%,-2.74%,-3.34%,-3.35%,-3.38%,-3.37%,-3.37%
Coveo,Torch-GRU4Rec,OOB,cross-entropy,adagrad,FALSE,512,softmax,512,32,0.4,0.15,0.03,N/A,2048,0,0,N/A,0.0445,0.0445,0.1343,0.0755,0.1949,0.0835,0.2835,0.0897,91.28,13650.91,426.78,-8.98%,-8.98%,-5.30%,-7.14%,-6.55%,-7.33%,-3.80%,-6.61%
Coveo,GRU4Rec Official,GRU4Rec_Tensorflow params,cross-entropy,adagrad,FALSE,512,softmax,512,32,0,0.15,0.03,0,0,0,0,0,0.0273,0.0273,0.0853,0.0468,0.1326,0.053,0.2001,0.0576,29.4,42363,1324.38,-44.10%,-44.10%,-39.85%,-42.52%,-36.42%,-41.24%,-32.12%,-40.06%
Coveo,GRU4Rec_Tensorflow,OOB,cross-entropy,adagrad,FALSE,512,softmax,512,50,N/A,0.15,0.03,N/A,N/A,N/A,N/A,N/A,0.0025,0.0025,0.0103,0.005,0.0204,0.0063,0.0375,0.0075,55.39,22483.6,449.67,-94.84%,-94.84%,-92.70%,-93.88%,-90.24%,-93.01%,-87.27%,-92.22%
Coveo,GRU4Rec_Tensorflow,Correct Exp,cross-entropy,adagrad,FALSE,512,softmax,512,32,N/A,0.15,0.03,N/A,N/A,N/A,N/A,N/A,0.0252,0.0252,0.0804,0.0441,0.1276,0.0503,0.1951,0.0549,81.9,15209.23,475.29,-48.49%,-48.49%,-43.33%,-45.79%,-38.80%,-44.18%,-33.81%,-42.79%
Coveo,GRU4Rec Official,KerasGRU4Rec params,cross-entropy,adagrad,FALSE,0,softmax,512,32,0,0.15,0.03,0,2048,0,0,0,0.0466,0.0466,0.136,0.0775,0.1993,0.0859,0.2852,0.0917,31.86,39093,1222.2,-4.62%,-4.62%,-4.11%,-4.76%,-4.40%,-4.71%,-3.22%,-4.46%
Coveo,GRU4Rec Official,KerasGRU4Rec params,cross-entropy,adagrad,FALSE,0,softmax,512,32,0,0.15,0.03,0,ALL,N/A,0,N/A,0.048,0.048,0.1383,0.0789,0.2029,0.0875,0.288,0.0933,68.66,18139,567.11,-1.87%,-1.87%,-2.47%,-2.96%,-2.68%,-2.95%,-2.27%,-2.82%
Coveo,KerasGRU4Rec,OOB,cross-entropy,adam,FALSE,0,softmax,100,32,N/A,0.15,0.001,N/A,N/A,N/A,N/A,N/A,0.0451,0.0451,0.127,0.0732,0.1888,0.0813,0.2739,0.0871,568.22,2191.59,68.49,-7.72%,-7.72%,-10.47%,-10.03%,-9.44%,-9.81%,-7.06%,-9.24%
Coveo,KerasGRU4Rec,Correct exp,cross-entropy,adagrad,FALSE,0,softmax,512,32,N/A,0.15,0.03,N/A,N/A,N/A,N/A,N/A,0.0477,0.0477,0.137,0.0786,0.1997,0.0868,0.2822,0.0925,677.8,1837.26,57.41,-2.40%,-2.40%,-3.42%,-3.42%,-4.22%,-3.65%,-4.25%,-3.65%
Coveo,KerasGRU4Rec,Correct full,cross-entropy,adagrad,FALSE,0,softmax,512,32,N/A,0.15,0.03,N/A,N/A,N/A,N/A,N/A,0.0469,0.0469,0.1361,0.0778,0.1993,0.0861,0.2826,0.0918,644.59,1932.25,60.38,-4.05%,-4.05%,-3.99%,-4.41%,-4.42%,-4.47%,-4.10%,-4.36%
Coveo,GRU4Rec Official,Recpack params,cross-entropy,adagrad,FALSE,512,softmax,512,32,0.4,0.15,0.03,0,2048,0,0,0,0.0458,0.0458,0.1359,0.077,0.2009,0.0856,0.2829,0.0912,36.65,33980,1062.34,-6.26%,-6.26%,-4.13%,-5.39%,-3.64%,-5.06%,-4.01%,-5.02%
Coveo,GRU4Rec Official,Recpack params,cross-entropy,adagrad,FALSE,512,softmax,512,32,0.4,0.15,0.03,N/A,ALL,N/A,0,N/A,0.0483,0.0483,0.1368,0.0788,0.2012,0.0873,0.2851,0.0931,74.28,16768,524.23,-1.28%,-1.28%,-3.50%,-3.08%,-3.53%,-3.14%,-3.27%,-3.07%
Coveo,Recpack,OOB,cross-entropy,adagrad,FALSE,512,softmax,512,32,0.4,0.4,0.03,N/A,N/A,N/A,0,N/A,0.0381,0.0381,0.1108,0.0635,0.1635,0.0704,0.2335,0.0752,662.69,1881.49,346.18,-22.07%,-22.07%,-21.87%,-22.00%,-21.61%,-21.88%,-20.77%,-21.64%
Coveo,Recpack,Correct exp,cross-entropy,adagrad,FALSE,512,softmax,512,32,0.4,0.4,0.03,N/A,N/A,N/A,0,N/A,0.0375,0.0375,0.1094,0.0622,0.1605,0.0689,0.2323,0.0739,656.08,1899.95,349.57,-23.40%,-23.40%,-22.85%,-23.52%,-23.04%,-23.50%,-21.17%,-23.06%
Coveo,Recpack,Correct full,cross-entropy,adagrad,FALSE,512,softmax,512,32,0.4,0.15,0.03,N/A,N/A,N/A,0,N/A,0.0365,0.0365,0.1061,0.0603,0.1596,0.0673,0.2309,0.0722,637.93,1952.35,359.21,-25.41%,-25.41%,-25.15%,-25.92%,-23.45%,-25.33%,-21.65%,-24.80%
Retailrocket,GRU4Rec Official,Best params,bpr-max,adagrad,TRUE,0,elu-0.5,224,80,0.5,0.05,0.05,0.4,2048,0.4,1.95,0,0.1224,0.1224,0.3196,0.1928,0.4181,0.206,0.5187,0.2131,6.86,80807,1019.34,,,,,,,,
Retailrocket,GRU4Rec Official,GRU4REC-pytorch params,bpr-max,adagrad,FALSE,224,elu-0.5,224,80,0.5,0.05,0.05,0,0,0,0,0,0.056,0.056,0.1595,0.0916,0.2294,0.1009,0.3142,0.1067,5.22,106326,1338.98,-54.23%,-54.23%,-50.10%,-52.48%,-45.13%,-51.04%,-39.41%,-49.92%
Retailrocket,GRU4REC-pytorch,OOB,bpr-max,adagrad,FALSE,224,elu-0.5,224,80,N/A,N/A,0.05,N/A,N/A,N/A,N/A,N/A,0.0096,0.0096,0.0355,0.0184,0.0544,0.021,0.0794,0.0227,20.53,27014.01,337.68,-92.12%,-92.12%,-88.90%,-90.45%,-86.99%,-89.83%,-84.69%,-89.36%
Retailrocket,GRU4REC-pytorch,OOB Correct Eval,bpr-max,adagrad,FALSE,224,elu-0.5,224,80,N/A,N/A,0.05,N/A,N/A,N/A,N/A,N/A,0.0406,0.0406,0.1341,0.0728,0.1933,0.0807,0.2528,0.0848,20.44,27120.93,339.01,-66.88%,-66.88%,-58.06%,-62.23%,-53.78%,-60.84%,-51.27%,-60.18%
Retailrocket,GRU4REC-pytorch,Correct full,bpr-max,adagrad,FALSE,224,elu-0.5,224,80,0.5,0.05,0.05,N/A,N/A,N/A,N/A,N/A,0.0456,0.0456,0.1443,0.0804,0.1976,0.0875,0.2554,0.0916,24.42,22705.56,283.82,-62.76%,-62.76%,-54.84%,-58.30%,-52.74%,-57.52%,-50.76%,-57.01%
Retailrocket,GRU4Rec Official,Torch-GRU4Rec params,bpr-max,adagrad,FALSE,224,elu-0.5,224,80,0.5,0.05,0.05,0,2048,0.4,1.95,0,0.0979,0.0979,0.2672,0.1576,0.3631,0.1703,0.4639,0.1773,6.53,84909,1071.09,-20.04%,-20.04%,-16.41%,-18.23%,-13.15%,-17.33%,-10.56%,-16.77%
Retailrocket,Torch-GRU4Rec,OOB,bpr-max,adagrad,FALSE,224,elu-0.5,224,80,0.5,0.05,0.05,N/A,2048,0.4,1.95,N/A,0.0926,0.0926,0.2413,0.1451,0.3336,0.1574,0.4201,0.1633,26.39,21022.3,265.19,-24.35%,-24.35%,-24.51%,-24.70%,-20.22%,-23.61%,-19.00%,-23.35%
Retailrocket,GRU4Rec Official,Recpack params,bpr-max,adagrad,FALSE,224,linear,224,80,0.5,0.05,0.05,,2048,0,1.95,0,0.0883,0.0883,0.2491,0.1449,0.3449,0.1577,0.4455,0.1647,6.43,86193,1087.28,-27.88%,-27.88%,-22.07%,-24.82%,-17.51%,-23.47%,-14.11%,-22.71%
Retailrocket,Recpack,OOB,bpr-max,adagrad,FALSE,224,N/A,224,80,0.5,0.5,0.05,,2048,N/A,1,N/A,0.0618,0.0618,0.1757,0.101,0.2461,0.1104,0.3226,0.1157,450.18,1232.31,125.44,-49.51%,-49.51%,-45.04%,-47.59%,-41.14%,-46.42%,-37.80%,-45.71%
Retailrocket,Recpack,Correct exp,bpr-max,adagrad,FALSE,224,N/A,224,80,0.5,0.5,0.05,,2048,N/A,1.95,N/A,0.0567,0.0567,0.1667,0.0954,0.232,0.1041,0.3054,0.1092,451.63,1228.42,125.05,-53.65%,-53.65%,-47.84%,-50.53%,-44.51%,-49.50%,-41.12%,-48.76%
Retailrocket,Recpack,Correct full,bpr-max,adagrad,FALSE,224,N/A,224,80,0.5,0.05,0.05,,2048,N/A,1.95,N/A,0.0641,0.0641,0.1902,0.1082,0.2679,0.1185,0.355,0.1245,461.24,1202.41,122.4,-47.60%,-47.60%,-40.50%,-43.85%,-35.92%,-42.49%,-31.56%,-41.58%
Retailrocket,GRU4Rec Official,Best params,cross-entropy,adagrad,TRUE,0,softmax,192,240,0.5,0.05,0.085,0.3,2048,0.3,0,1,0.115,0.115,0.3026,0.1814,0.4019,0.1947,0.4953,0.2012,2.77,199935,880.71,,,,,,,,
Retailrocket,GRU4Rec Official,GRU4REC-pytorch params,cross-entropy,adagrad,FALSE,192,softmax,192,240,0.5,0.05,0.085,0,0,0,0,0,0.0578,0.0578,0.1681,0.0955,0.2441,0.1056,0.3378,0.1121,1.89,293600,1279.6,-49.71%,-49.71%,-44.43%,-47.36%,-39.25%,-45.78%,-31.79%,-44.32%
Retailrocket,GRU4REC-pytorch,OOB,cross-entropy,adagrad,FALSE,192,softmax,192,240,N/A,N/A,0.085,N/A,N/A,N/A,N/A,N/A,0.0479,0.0479,0.0561,0.0511,0.059,0.0515,0.0616,0.0517,10.1,54855.21,228.56,-58.36%,-58.36%,-81.47%,-71.82%,-85.31%,-73.53%,-87.55%,-74.30%
Retailrocket,GRU4REC-pytorch,OOB Correct Eval,cross-entropy,adagrad,FALSE,192,softmax,192,240,N/A,N/A,0.085,N/A,N/A,N/A,N/A,N/A,0.051,0.051,0.0582,0.0539,0.0607,0.0543,0.0642,0.0545,10.03,55225.62,230.11,-55.66%,-55.66%,-80.76%,-70.27%,-84.90%,-72.13%,-87.05%,-72.91%
Retailrocket,GRU4REC-pytorch,Correct full,cross-entropy,adagrad,FALSE,192,softmax,192,240,0.5,0.05,0.085,N/A,N/A,N/A,N/A,N/A,0.0492,0.0492,0.1544,0.0858,0.2163,0.0941,0.2812,0.0986,9.14,60592.49,252.47,-57.19%,-57.19%,-48.99%,-52.73%,-46.19%,-51.69%,-43.23%,-51.02%
Retailrocket,GRU4Rec Official,Torch-GRU4Rec params,cross-entropy,adagrad,FALSE,192,softmax,192,240,0.5,0.05,0.085,0,2048,0.3,0,0,0.0907,0.0907,0.2462,0.1456,0.3331,0.1571,0.4249,0.1635,2.45,226283,996.78,-21.12%,-21.12%,-18.63%,-19.73%,-17.11%,-19.29%,-14.20%,-18.73%
Retailrocket,Torch-GRU4Rec,OOB,cross-entropy,adagrad,FALSE,192,softmax,192,240,0.5,0.05,0.085,N/A,2048,0.3,0,N/A,0.0806,0.0806,0.2206,0.13,0.2994,0.1405,0.3834,0.1464,10.67,52144.58,229.7,-29.89%,-29.89%,-27.10%,-28.36%,-25.50%,-27.83%,-22.60%,-27.27%
Retailrocket,GRU4Rec Official,GRU4Rec_Tensorflow params,cross-entropy,adagrad,FALSE,192,softmax,192,240,0,0.05,0.085,0,0,0,0,0,0.0541,0.0541,0.1662,0.0931,0.2425,0.1031,0.3309,0.1092,1.86,297964,1298.62,-52.99%,-52.99%,-45.08%,-48.71%,-39.67%,-47.05%,-33.19%,-45.73%
Retailrocket,GRU4Rec_Tensorflow,OOB,cross-entropy,adagrad,FALSE,192,softmax,192,50,N/A,0.05,0.085,N/A,N/A,N/A,N/A,N/A,0.013,0.013,0.0328,0.0201,0.0381,0.0208,0.0439,0.0212,22.97,24141.37,482.83,-88.71%,-88.71%,-89.16%,-88.92%,-90.51%,-89.32%,-91.14%,-89.46%
Retailrocket,GRU4Rec_Tensorflow,Correct Exp,cross-entropy,adagrad,FALSE,192,softmax,192,240,N/A,0.05,0.085,N/A,N/A,N/A,N/A,N/A,0.0612,0.0612,0.1776,0.1019,0.2541,0.112,0.3388,0.1179,5.09,109157.42,454.82,-46.76%,-46.76%,-41.29%,-43.85%,-36.77%,-42.45%,-31.59%,-41.40%
Retailrocket,GRU4Rec Official,KerasGRU4Rec params,cross-entropy,adagrad,FALSE,0,softmax,192,240,0,0.05,0.085,0,2048,0,0,0,0.0981,0.0981,0.2531,0.1535,0.3338,0.1643,0.4239,0.1705,2.2,252235,1111.09,-14.73%,-14.73%,-16.36%,-15.38%,-16.94%,-15.59%,-14.42%,-15.25%
Retailrocket,GRU4Rec Official,KerasGRU4Rec params,cross-entropy,adagrad,FALSE,0,softmax,192,240,0,0.05,0.085,0,ALL,N/A,0,N/A,0.1057,0.1057,0.2601,0.1608,0.3405,0.1715,0.42,0.1771,71.93,7710,33.96,-8.13%,-8.13%,-14.05%,-11.37%,-15.27%,-11.90%,-15.20%,-12.01%
Retailrocket,KerasGRU4Rec,OOB,cross-entropy,adam,FALSE,0,softmax,100,240,N/A,0.25,0.001,N/A,N/A,N/A,N/A,N/A,0.0713,0.0713,0.1899,0.1124,0.252,0.1207,0.3151,0.125,276.29,2004.12,8.35,-37.98%,-37.98%,-37.26%,-38.05%,-37.30%,-38.03%,-36.38%,-37.88%
Retailrocket,KerasGRU4Rec,Correct exp,cross-entropy,adagrad,FALSE,0,softmax,192,240,N/A,0.05,0.085,N/A,N/A,N/A,N/A,N/A,0.0962,0.0962,0.244,0.1488,0.3209,0.1591,0.3938,0.1642,282.69,1958.63,8.16,-16.38%,-16.38%,-19.37%,-17.99%,-20.15%,-18.27%,-20.48%,-18.42%
Retailrocket,KerasGRU4Rec,Correct full,cross-entropy,adagrad,FALSE,0,softmax,192,240,N/A,0.05,0.085,N/A,N/A,N/A,N/A,N/A,0.0962,0.0962,0.2463,0.1496,0.3206,0.1595,0.3957,0.1647,281.92,1964.05,8.18,-16.34%,-16.34%,-18.61%,-17.54%,-20.22%,-18.06%,-20.11%,-18.15%
Retailrocket,GRU4Rec Official,Recpack params,cross-entropy,adagrad,FALSE,192,softmax,192,240,0.5,0.05,0.085,0,2048,0,0,0,0.0914,0.0914,0.2458,0.1457,0.3356,0.1577,0.4235,0.1637,2.45,226383,997.22,-20.58%,-20.58%,-18.79%,-19.70%,-16.48%,-19.03%,-14.48%,-18.64%
Retailrocket,GRU4Rec Official,Recpack params,cross-entropy,adagrad,FALSE,192,softmax,192,240,0.5,0.05,0.085,0,ALL,N/A,0,N/A,0.104,0.104,0.267,0.162,0.3508,0.1732,0.4322,0.1788,72.09,7693,33.89,-9.63%,-9.63%,-11.77%,-10.72%,-12.71%,-11.05%,-12.74%,-11.14%
Retailrocket,Recpack,OOB,cross-entropy,adagrad,FALSE,192,softmax,192,240,0.5,0.5,0.085,N/A,N/A,N/A,0,N/A,0.0609,0.0609,0.1514,0.0935,0.196,0.0995,0.2442,0.1029,122.27,4535.76,253.53,-47.01%,-47.01%,-49.97%,-48.46%,-51.22%,-48.90%,-50.69%,-48.89%
Retailrocket,Recpack,Correct exp,cross-entropy,adagrad,FALSE,192,softmax,192,240,0.5,0.5,0.085,N/A,N/A,N/A,0,N/A,0.0545,0.0545,0.139,0.0845,0.178,0.0897,0.221,0.0927,126.13,4398.31,245.85,-52.61%,-52.61%,-54.07%,-53.44%,-55.70%,-53.94%,-55.38%,-53.95%
Retailrocket,Recpack,Correct full,cross-entropy,adagrad,FALSE,192,softmax,192,240,0.5,0.05,0.085,N/A,N/A,N/A,0,N/A,0.065,0.065,0.1755,0.1044,0.2323,0.1119,0.2866,0.1157,121.39,4568.79,255.38,-43.53%,-43.53%,-41.99%,-42.48%,-42.20%,-42.51%,-42.14%,-42.51%
Diginetica,GRU4Rec Official,Best params,bpr-max,adagrad,TRUE,0,elu-1,512,128,0.5,0.3,0.05,0.15,2048,0.3,0.9,0,0.0688,0.0688,0.2304,0.1237,0.3533,0.1399,0.4995,0.15,8.02,81757,639.87,,,,,,,,
Diginetica,GRU4Rec Official,GRU4REC-pytorch params,bpr-max,adagrad,FALSE,512,elu-1,512,128,0.5,0.3,0.05,0,0,0,0,0,0.0365,0.0365,0.1283,0.0675,0.2066,0.0778,0.3141,0.0851,5.29,123869,969.27,-47.02%,-47.02%,-44.31%,-45.41%,-41.53%,-44.39%,-37.13%,-43.22%
Diginetica,GRU4REC-pytorch,OOB,bpr-max,adagrad,FALSE,512,elu-1,512,128,N/A,N/A,0.05,N/A,N/A,N/A,N/A,N/A,0.0006,0.0006,0.002,0.0011,0.0039,0.0013,0.007,0.0015,32.24,20333.91,158.86,-99.15%,-99.15%,-99.11%,-99.14%,-98.90%,-99.07%,-98.60%,-98.99%
Diginetica,GRU4REC-pytorch,OOB Correct Eval,bpr-max,adagrad,FALSE,512,elu-1,512,128,N/A,N/A,0.05,N/A,N/A,N/A,N/A,N/A,0.0239,0.0239,0.0937,0.0472,0.1537,0.0551,0.2367,0.0608,32.18,20378.12,159.2,-65.34%,-65.34%,-59.33%,-61.86%,-56.49%,-60.61%,-52.62%,-59.47%
Diginetica,GRU4REC-pytorch,Correct full,bpr-max,adagrad,FALSE,512,elu-1,512,128,0.5,0.3,0.05,N/A,N/A,N/A,N/A,N/A,0.0277,0.0277,0.107,0.0543,0.1747,0.0632,0.2616,0.0692,36.76,17838.75,139.36,-59.74%,-59.74%,-53.55%,-56.08%,-50.55%,-54.81%,-47.62%,-53.87%
Diginetica,GRU4Rec Official,Torch-GRU4Rec params,bpr-max,adagrad,FALSE,512,elu-1,512,128,0.5,0.3,0.05,0,2048,0.3,0.9,0,0.0643,0.0643,0.2113,0.1143,0.3204,0.1287,0.4597,0.1383,7.71,85021,665.42,-6.58%,-6.58%,-8.30%,-7.53%,-9.32%,-7.97%,-7.97%,-7.76%
Diginetica,Torch-GRU4Rec,OOB,bpr-max,adagrad,FALSE,512,elu-1,512,128,0.5,0.3,0.05,N/A,2048,0.3,0.9,N/A,0.0636,0.0636,0.211,0.1137,0.3185,0.1278,0.455,0.1372,36.89,17783.97,139.19,-7.64%,-7.64%,-8.42%,-8.08%,-9.85%,-8.63%,-8.92%,-8.54%
Diginetica,GRU4Rec Official,Recpack params,bpr-max,adagrad,FALSE,512,linear,512,128,0.5,0.3,0.05,0,2048,0,0.9,0,0.0635,0.0635,0.2101,0.1138,0.3203,0.1283,0.4586,0.1379,7.73,84812,663.79,-7.71%,-7.71%,-8.82%,-7.99%,-9.35%,-8.24%,-8.19%,-8.05%
Diginetica,Recpack,OOB,bpr-max,adagrad,FALSE,512,N/A,512,128,0.5,0.5,0.05,N/A,2048,N/A,1,N/A,0.0409,0.0409,0.1412,0.0752,0.2162,0.0851,0.3066,0.0913,352.17,1862.33,79.68,-40.57%,-40.57%,-38.70%,-39.21%,-38.82%,-39.16%,-38.63%,-39.10%
Diginetica,Recpack,Correct exp,bpr-max,adagrad,FALSE,512,N/A,512,128,0.5,0.5,0.05,N/A,2048,N/A,0.9,N/A,0.0449,0.0449,0.1609,0.0839,0.2558,0.0964,0.3744,0.1046,346.7,1891.72,80.94,-34.84%,-34.84%,-30.16%,-32.13%,-27.59%,-31.06%,-25.05%,-30.27%
Diginetica,Recpack,Correct full,bpr-max,adagrad,FALSE,512,N/A,512,128,0.5,0.3,0.05,N/A,2048,N/A,0.9,N/A,0.043,0.043,0.1643,0.0836,0.258,0.0959,0.3756,0.104,342.34,1915.79,81.97,-37.51%,-37.51%,-28.70%,-32.38%,-26.96%,-31.41%,-24.81%,-30.62%
Diginetica,GRU4Rec Official,Best params,cross-entropy,adagrad,TRUE,0,softmax,192,128,0.45,0.15,0.1,0,2048,0,0,1,0.0647,0.0647,0.222,0.1181,0.3414,0.1339,0.4874,0.144,4.52,144959,1134.52,,,,,,,,
Diginetica,GRU4Rec Official,GRU4REC-pytorch params,cross-entropy,adagrad,FALSE,192,softmax,192,128,0.45,0.15,0.1,0,0,0,0,0,0.0296,0.0296,0.1133,0.0576,0.1888,0.0675,0.2973,0.0749,3.67,178755,1398.76,-54.28%,-54.28%,-48.96%,-51.20%,-44.68%,-49.54%,-39.00%,-47.98%
Diginetica,GRU4REC-pytorch,OOB,cross-entropy,adagrad,FALSE,192,softmax,192,128,N/A,N/A,0.1,N/A,N/A,N/A,N/A,N/A,0.0287,0.0287,0.0376,0.0321,0.0415,0.0327,0.0457,0.0329,17.65,37154.98,290.27,-55.59%,-55.59%,-83.08%,-72.79%,-87.86%,-75.61%,-90.62%,-77.13%
Diginetica,GRU4REC-pytorch,OOB Correct Eval,cross-entropy,adagrad,FALSE,192,softmax,192,128,N/A,N/A,0.1,N/A,N/A,N/A,N/A,N/A,0.0321,0.0321,0.0415,0.0357,0.0457,0.0363,0.0503,0.0366,17.67,37108.16,289.91,-50.44%,-50.44%,-81.29%,-69.74%,-86.62%,-72.89%,-89.68%,-74.58%
Diginetica,GRU4REC-pytorch,Correct full,cross-entropy,adagrad,FALSE,192,softmax,192,128,0.45,0.15,0.1,N/A,N/A,N/A,N/A,N/A,0.0288,0.0288,0.1135,0.0572,0.186,0.0667,0.2862,0.0736,16.97,38627.84,301.78,-55.50%,-55.50%,-48.88%,-51.59%,-45.51%,-50.15%,-41.28%,-48.90%
Diginetica,GRU4Rec Official,Torch-GRU4Rec params,cross-entropy,adagrad,FALSE,192,softmax,192,128,0.45,0.15,0.1,0,2048,0,0,0,0.0552,0.0552,0.1927,0.102,0.2967,0.1157,0.4255,0.1246,4.48,146542,1146.91,-14.78%,-14.78%,-13.17%,-13.69%,-13.08%,-13.55%,-12.70%,-13.47%
Diginetica,Torch-GRU4Rec,OOB,cross-entropy,adagrad,FALSE,192,softmax,192,128,0.45,0.15,0.1,N/A,2048,0,0,N/A,0.0541,0.0541,0.1894,0.1002,0.2921,0.1137,0.4245,0.1229,17.74,36974.8,289.38,-16.45%,-16.45%,-14.67%,-15.19%,-14.44%,-15.04%,-12.90%,-14.71%
Diginetica,GRU4Rec Official,GRU4Rec_Tensorflow params,cross-entropy,adagrad,FALSE,192,softmax,192,128,0,0.15,0.1,0,0,0,0,0,0.0313,0.0313,0.1136,0.0588,0.1893,0.0687,0.2976,0.0761,3.62,181209,1417.96,-51.59%,-51.59%,-48.83%,-50.26%,-44.54%,-48.70%,-38.94%,-47.19%
Diginetica,GRU4Rec_Tensorflow,OOB,cross-entropy,adagrad,FALSE,192,softmax,192,50,N/A,0.15,0.1,N/A,N/A,N/A,N/A,N/A,0.0043,0.0043,0.0129,0.0073,0.0202,0.0082,0.0284,0.0088,26.33,24912.83,498.25,-93.40%,-93.40%,-94.19%,-93.83%,-94.08%,-93.85%,-94.17%,-93.89%
Diginetica,GRU4Rec_Tensorflow,Correct Exp,cross-entropy,adagrad,FALSE,192,softmax,192,128,N/A,0.15,0.1,N/A,N/A,N/A,N/A,N/A,0.0335,0.0335,0.1224,0.0635,0.1978,0.0734,0.3014,0.0805,10.75,60990.52,476.49,-48.27%,-48.27%,-44.85%,-46.24%,-42.07%,-45.18%,-38.16%,-44.14%
Diginetica,GRU4Rec Official,KerasGRU4Rec params,cross-entropy,adagrad,FALSE,0,softmax,192,128,0,0.15,0.1,0,2048,0,0,0,0.0572,0.0572,0.1962,0.1042,0.3003,0.1178,0.4304,0.1268,4.06,161575,1264.57,-11.66%,-11.66%,-11.62%,-11.83%,-12.02%,-11.98%,-11.70%,-12.00%
Diginetica,GRU4Rec Official,KerasGRU4Rec params,cross-entropy,adagrad,FALSE,0,softmax,192,128,0,0.15,0.1,0,ALL,N/A,0,N/A,0.0604,0.0604,0.201,0.1086,0.3042,0.1223,0.432,0.1311,74.84,8763,68.58,-6.72%,-6.72%,-9.43%,-8.02%,-10.89%,-8.65%,-11.37%,-8.99%
Diginetica,KerasGRU4Rec,OOB,cross-entropy,adam,FALSE,0,softmax,192,100,N/A,0.25,0.001,N/A,N/A,N/A,N/A,N/A,0.0511,0.0511,0.1723,0.092,0.2704,0.1049,0.3922,0.1133,359.31,1824.7,14.26,-21.10%,-21.10%,-22.38%,-22.09%,-20.80%,-21.61%,-19.53%,-21.32%
Diginetica,KerasGRU4Rec,Correct exp,cross-entropy,adagrad,FALSE,0,softmax,192,128,N/A,0.15,0.1,N/A,N/A,N/A,N/A,N/A,0.0518,0.0518,0.1774,0.0945,0.2694,0.1066,0.3853,0.1146,355.51,1850.14,14.45,-19.91%,-19.91%,-20.08%,-20.02%,-21.08%,-20.36%,-20.94%,-20.44%
Diginetica,KerasGRU4Rec,Correct full,cross-entropy,adagrad,FALSE,0,softmax,192,128,N/A,0.15,0.1,N/A,N/A,N/A,N/A,N/A,0.051,0.051,0.1755,0.0935,0.2699,0.106,0.3869,0.1141,367.03,1786.86,13.96,-21.27%,-21.27%,-20.94%,-20.82%,-20.92%,-20.81%,-20.61%,-20.81%
Diginetica,GRU4Rec Official,Recpack params,cross-entropy,adagrad,FALSE,192,softmax,192,128,0.45,0.15,0.1,0,2048,0,0,0,0.0562,0.0562,0.1902,0.1019,0.2939,0.1157,0.4263,0.1248,4.45,147454,1154.05,-13.23%,-13.23%,-14.32%,-13.69%,-13.90%,-13.59%,-12.52%,-13.34%
Diginetica,GRU4Rec Official,Recpack params,cross-entropy,adagrad,FALSE,192,softmax,192,128,0.45,0.15,0.1,0,ALL,N/A,0,N/A,0.0603,0.0603,0.2001,0.1083,0.3058,0.1223,0.4341,0.1312,76.19,8608,67.37,-6.88%,-6.88%,-9.87%,-8.32%,-10.41%,-8.62%,-10.92%,-8.93%
