Implementation,Variant,Recall\@1,MRR\@1,Recall\@5,MRR\@5,Recall\@10,MRR\@10,Recall\@20,MRR\@20
GRU4Rec Official,Best params,0.0688,0.0688,0.2304,0.1237,0.3533,0.1399,0.4995,0.1500
GRU4Rec Official,Recpack params,0.0635,0.0635,0.2101,0.1138,0.3203,0.1283,0.4586,0.1379
Recpack,OOB,0.0409,0.0409,0.1412,0.0752,0.2162,0.0851,0.3066,0.0913
Recpack,Correct exp,0.0449,0.0449,0.1609,0.0839,0.2558,0.0964,0.3744,0.1046
Recpack,Correct full,0.0430,0.0430,0.1643,0.0836,0.2580,0.0959,0.3756,0.1040
