Implementation,Variant,Recall\@1 Diff,MRR\@1 Diff,Recall\@5 Diff,MRR\@5 Diff,Recall\@10 Diff,MRR\@10 Diff,Recall\@20 Diff,MRR\@20 Diff
GRU4Rec Official,Best params,,,,,,,,
GRU4Rec Official,Torch-GRU4Rec params,-4.81%,-4.81%,-3.50%,-4.52%,-2.23%,-4.14%,-1.67%,-4.00%
Torch-GRU4Rec,OOB,-6.14%,-6.14%,-4.25%,-5.77%,-2.99%,-5.35%,-1.95%,-5.14%
