Implementation,Variant,Avg. epoch time (s),Avg. epoch time to Best,Avg. epoch time to Matching,Avg. mb/s,Avg. e/s
GRU4Rec Official,Best params,4.52,,,1134.52,144959.00
GRU4Rec Official,KerasGRU4Rec params,4.06,0.90 x,,1264.57,161575.00
GRU4Rec Official,KerasGRU4Rec params,74.84,16.56 x,18.43 x,68.58,8763.00
KerasGRU4Rec,OOB,359.31,79.49 x,88.50 x,14.26,1824.70
KerasGRU4Rec,Correct exp,355.51,78.65 x,87.56 x,14.45,1850.14
KerasGRU4Rec,Correct full,367.03,81.20 x,90.40 x,13.96,1786.86
