Implementation,Variant,Recall\@1 Diff,MRR\@1 Diff,Recall\@5 Diff,MRR\@5 Diff,Recall\@10 Diff,MRR\@10 Diff,Recall\@20 Diff,MRR\@20 Diff
GRU4Rec Official,Best params,,,,,,,,
GRU4Rec Official,GRU4REC-pytorch params,-69.35%,-69.35%,-57.23%,-62.92%,-49.92%,-60.45%,-42.18%,-58.64%
GRU4REC-pytorch,OOB,-47.82%,-47.82%,-70.70%,-60.62%,-76.85%,-63.16%,-80.57%,-64.40%
GRU4REC-pytorch,OOB Correct Eval,-45.38%,-45.38%,-68.49%,-58.26%,-75.23%,-60.98%,-79.34%,-62.31%
GRU4REC-pytorch,Correct full,-90.78%,-90.78%,-82.31%,-86.58%,-73.82%,-83.93%,-62.31%,-81.47%
