Implementation,Variant,Recall\@1,MRR\@1,Recall\@5,MRR\@5,Recall\@10,MRR\@10,Recall\@20,MRR\@20
GRU4Rec Official,Best params,0.1027,0.1027,0.2897,0.168,0.4027,0.1831,0.5206,0.1913
GRU4Rec Official,Torch-GRU4Rec params,0.0968,0.0968,0.2801,0.1607,0.3923,0.1757,0.5112,0.1839
Torch-GRU4Rec,OOB,0.0954,0.0954,0.2774,0.1588,0.3894,0.1737,0.5081,0.182
