Implementation,Variant,Recall\@1,MRR\@1,Recall\@5,MRR\@5,Recall\@10,MRR\@10,Recall\@20,MRR\@20
GRU4Rec Official,Best params,0.0647,0.0647,0.2220,0.1181,0.3414,0.1339,0.4874,0.1440
GRU4Rec Official,KerasGRU4Rec params,0.0572,0.0572,0.1962,0.1042,0.3003,0.1178,0.4304,0.1268
GRU4Rec Official,KerasGRU4Rec params,0.0604,0.0604,0.2010,0.1086,0.3042,0.1223,0.4320,0.1311
KerasGRU4Rec,OOB,0.0511,0.0511,0.1723,0.0920,0.2704,0.1049,0.3922,0.1133
KerasGRU4Rec,Correct exp,0.0518,0.0518,0.1774,0.0945,0.2694,0.1066,0.3853,0.1146
KerasGRU4Rec,Correct full,0.0510,0.0510,0.1755,0.0935,0.2699,0.1060,0.3869,0.1141
