Implementation,Variant,Avg. epoch time (s),Avg. epoch time to Best,Avg. epoch time to Matching,Avg. mb/s,Avg. e/s
GRU4Rec Official,Best params,2.77,,,880.71,199935.00
GRU4Rec Official,GRU4REC-pytorch params,1.89,0.68 x,,1279.60,293600.00
GRU4REC-pytorch,OOB,10.10,3.65 x,5.34 x,228.56,54855.21
GRU4REC-pytorch,OOB Correct Eval,10.03,3.62 x,5.31 x,230.11,55225.62
GRU4REC-pytorch,Correct full,9.14,3.30 x,4.84 x,252.47,60592.49
