Implementation,Variant,Recall\@1 Diff,MRR\@1 Diff,Recall\@5 Diff,MRR\@5 Diff,Recall\@10 Diff,MRR\@10 Diff,Recall\@20 Diff,MRR\@20 Diff
GRU4Rec Official,Best params,,,,,,,,
GRU4Rec Official,Recpack params,-4.89%,-4.89%,-3.52%,-4.81%,-1.67%,-4.25%,-1.33%,-4.14%
GRU4Rec Official,Recpack params,1.56%,1.56%,-0.23%,0.46%,0.00%,0.50%,-0.02%,0.46%
Recpack,OOB,-14.70%,-14.70%,-11.57%,-13.20%,-10.35%,-12.81%,-8.67%,-12.50%
Recpack,Correct exp,-13.87%,-13.87%,-10.94%,-12.35%,-9.50%,-11.89%,-8.05%,-11.62%
Recpack,Correct full,-8.33%,-8.33%,-8.59%,-8.77%,-7.29%,-8.41%,-6.19%,-8.23%
