Implementation,Variant,Recall\@1 Diff,MRR\@1 Diff,Recall\@5 Diff,MRR\@5 Diff,Recall\@10 Diff,MRR\@10 Diff,Recall\@20 Diff,MRR\@20 Diff
GRU4Rec Official,Best params,,,,,,,,
GRU4Rec Official,GRU4REC-pytorch params,-60.10%,-60.10%,-46.48%,-52.83%,-38.96%,-50.54%,-32.64%,-49.27%
GRU4REC-pytorch,OOB,-48.10%,-48.10%,-75.54%,-63.82%,-80.19%,-65.70%,-82.82%,-66.50%
GRU4REC-pytorch,OOB Correct Eval,-47.07%,-47.07%,-74.56%,-62.69%,-79.42%,-64.64%,-82.19%,-65.46%
GRU4REC-pytorch,Correct full,-72.58%,-72.58%,-55.19%,-63.68%,-46.44%,-60.98%,-37.22%,-59.14%
